transaction_id,account_id,customer_name,email,income_band,country,province,city,postal_code,account_type,transaction_type,transaction_amount,currency,merchant_name,merchant_category,payment_method,transaction_date,balance_before,balance_after,is_international,exchange_rate,is_fraud,device_type,recurring_payment,month,day_of_week,Month Name,Credit_vs_Debit,Fraud_Flag,Net_Change
TXN-000001,ACC-13478,Name_4257,user9928@example.com,Upper-Mid,Canada,Ontario,Toronto,S3T 9L0,Checking,Credit,33.01,CAD,Merchant_358,Entertainment,Direct Debit,7/23/2025 1:37,11888.01,11921.02,TRUE,0.89,FALSE,Mobile,FALSE,7,Wednesday,July,Credit,Clean,33.01
TXN-000002,ACC-92397,Name_6925,user4150@example.com,Low,Canada,British Columbia,Vancouver,C0K 4C3,Checking,Debit,17.49,CAD,Merchant_195,Utilities,Wire,1/1/2026 18:52,374.09,356.6,FALSE,,FALSE,POS,FALSE,1,Thursday,January,Debit,Clean,-17.49
TXN-000003,ACC-38785,Name_6313,user1916@example.com,Lower-Mid,Canada,Quebec,Quebec City,K0N 6L1,Checking,Debit,38.39,CAD,Merchant_468,Salary,Transfer,2/16/2026 7:34,2956.37,2917.99,FALSE,,FALSE,POS,FALSE,2,Monday,February,Debit,Clean,-38.38
TXN-000004,ACC-21915,Name_1771,user2796@example.com,Lower-Mid,Canada,Alberta,Calgary,G2S 9C6,Savings,Credit,92.11,CAD,Merchant_306,Healthcare,Direct Debit,6/4/2025 1:30,2464.79,2556.9,FALSE,,FALSE,POS,FALSE,6,Wednesday,June,Credit,Clean,92.11
TXN-000005,ACC-33416,Name_9317,user2743@example.com,Upper-Mid,Canada,Ontario,Mississauga,M8J 2P2,Credit,Credit,15.89,CAD,Merchant_489,Groceries,Direct Debit,8/7/2025 1:47,10691.54,10707.43,FALSE,,TRUE,Web,TRUE,8,Thursday,August,Credit,Fraud,15.89
TXN-000006,ACC-79163,Name_7932,user4470@example.com,Lower-Mid,Canada,British Columbia,Victoria,Y3M 6P7,Credit,Debit,15.89,CAD,Merchant_232,Rent,Transfer,12/31/2025 14:15,2485.75,2469.86,FALSE,,FALSE,Mobile,TRUE,12,Wednesday,December,Debit,Clean,-15.89
TXN-000007,ACC-73624,Name_4510,user9834@example.com,Mid,Canada,Ontario,Mississauga,G9V 3V6,Checking,Debit,97.44,CAD,Merchant_49,Rent,Wire,7/24/2025 17:41,5954.89,5857.45,FALSE,,FALSE,Web,FALSE,7,Thursday,July,Debit,Clean,-97.44
TXN-000008,ACC-34050,Name_5563,user8579@example.com,Low,Canada,Alberta,Red Deer,K1T 8E0,Credit,Debit,43.27,CAD,Merchant_277,Groceries,Card,11/9/2025 13:26,1376.22,1332.95,FALSE,,FALSE,Mobile,TRUE,11,Sunday,November,Debit,Clean,-43.27
TXN-000009,ACC-73788,Name_3536,user4111@example.com,Lower-Mid,Canada,Alberta,Edmonton,M3B 9Y0,Credit,Credit,12.56,CAD,Merchant_161,Groceries,Card,1/4/2026 6:44,705.22,717.78,FALSE,,FALSE,POS,FALSE,1,Sunday,January,Credit,Clean,12.56
TXN-000010,ACC-91183,Name_2343,user7868@example.com,High,Canada,Quebec,Montreal,X5L 3N3,Savings,Debit,34.56,CAD,Merchant_203,Dining,Direct Debit,1/16/2026 4:01,17878.56,17844.01,FALSE,,FALSE,Web,FALSE,1,Friday,January,Debit,Clean,-34.55
TXN-000011,ACC-67433,Name_9900,user5956@example.com,Mid,Canada,Ontario,Toronto,X0Y 4E2,Savings,Credit,12.64,CAD,Merchant_60,Rent,Transfer,9/30/2025 18:09,1512.83,1525.46,FALSE,,FALSE,Web,FALSE,9,Tuesday,September,Credit,Clean,12.63
TXN-000012,ACC-53719,Name_3143,user5291@example.com,Lower-Mid,Canada,Quebec,Laval,H7Y 6Y0,Checking,Debit,12.61,CAD,Merchant_39,Dining,Card,8/13/2025 9:59,3485.19,3472.59,FALSE,,FALSE,Web,FALSE,8,Wednesday,August,Debit,Clean,-12.6
TXN-000013,ACC-63264,Name_3532,user4878@example.com,Low,Canada,Quebec,Quebec City,H2S 0H5,Savings,Debit,25.58,CAD,Merchant_411,Travel,Direct Debit,9/23/2025 2:55,754.87,729.28,FALSE,,FALSE,Mobile,FALSE,9,Tuesday,September,Debit,Clean,-25.59
TXN-000014,ACC-19099,Name_5573,user6753@example.com,Upper-Mid,Canada,Ontario,Ottawa,X6Y 5A1,Savings,Debit,2.96,CAD,Merchant_92,Utilities,Card,10/15/2025 19:16,8523.64,8520.67,FALSE,,FALSE,Mobile,FALSE,10,Wednesday,October,Debit,Clean,-2.97
